   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
          0.00079851,             0.11765,          0.00068627,          0.00014667,             0.10985,            0.078533,             0.04417,             0.01005,                0.01,             0.96594,             0.00057,              2.7266,             0.78374,             0.09176,             0.04984,             0.47439,             0.85761,              1.0534,             0.78193,                 0.2,              3.7709,                   0,             0.01493,             0.62994,             0.37355,                   0,             0.09794,             0.45719,                   0,                   0,                   0,                 0.5,             0.93883,                   0,                   0,              2.7729
          0.00072525,             0.10131,          0.00070751,          0.00023392,             0.11389,            0.091422,            0.052724,             0.00726,              0.0126,             0.94973,             0.00049,              3.0754,             0.89015,             0.10722,              0.0523,             0.46159,              1.1096,              1.0433,             0.89295,                 0.2,              4.1397,                   0,             0.01448,             0.73844,             0.36063,                   0,             0.09573,             0.42814,                   0,                   0,                   0,                 0.5,             0.76042,                   0,                   0,              3.7732
          0.00095562,             0.10458,            0.001566,          0.00035811,             0.11368,            0.091177,            0.050351,             0.00748,             0.01235,             0.95636,             0.00048,              3.1255,             0.90745,             0.10941,              0.0523,             0.46159,              1.0482,              1.0386,             0.89295,                 0.2,              4.0737,                   0,             0.01478,             0.73844,             0.35505,                   0,             0.09573,             0.42056,                   0,                   0,                   0,                 0.5,             0.77112,                   0,                   0,              3.7617
          0.00016497,            0.022436,          0.00010123,           1.664e-05,            0.082261,            0.087018,            0.044989,             0.00519,             0.01235,             0.95055,             0.00048,              3.3337,             0.86661,             0.11289,             0.03773,              0.4706,             0.88711,             0.99509,             0.89295,                 0.2,              4.0737,                   0,             0.01293,             0.73844,             0.30519,                   0,             0.12909,             0.42056,                   0,                   0,                   0,                 0.5,             0.50015,                   0,                   0,              5.3974
          0.00079851,             0.11765,          0.00073558,          0.00015752,             0.12143,            0.083013,            0.050901,             0.00771,             0.01326,             0.93204,             0.00048,              3.1255,                0.95,             0.11966,             0.05507,             0.46658,              1.0482,             0.98805,             0.89295,                 0.2,              4.0737,                   0,              0.0131,             0.69449,             0.32924,                   0,              0.1111,             0.42056,                   0,                   0,                   0,                 0.5,             0.84809,                   0,                   0,              2.8177
          0.00070979,             0.10458,          0.00073464,          0.00023317,             0.11521,            0.092106,            0.052499,             0.00748,             0.01235,             0.95753,             0.00048,              2.9198,             0.90745,             0.10941,             0.05299,             0.46159,              1.1038,              1.0404,             0.90241,                 0.2,              4.0737,                   0,             0.01525,             0.73844,             0.37294,                   0,             0.09674,             0.42191,                   0,                   0,                   0,                 0.5,             0.73893,                   0,                   0,              3.6458
          0.00072228,             0.10458,          0.00072704,           0.0002318,             0.10923,            0.085053,            0.049479,             0.00748,             0.01348,             0.93409,              0.0005,              3.1081,                0.95,             0.10855,              0.0503,             0.46159,              1.0257,             0.98231,             0.87774,                 0.2,               3.873,                   0,             0.01413,              0.6887,             0.34737,                   0,              0.0865,              0.4451,                   0,                   0,                   0,                 0.5,             0.76757,                   0,                   0,              4.2012
          0.00014088,            0.019231,          8.3456e-05,          1.4823e-05,            0.090642,            0.079964,            0.042467,              0.0076,             0.01235,                0.98,             0.00046,                3.35,             0.94292,             0.09669,             0.04208,             0.45561,             0.85865,              1.0289,             0.77825,                 0.2,              3.5155,                   0,             0.01465,             0.69596,             0.43243,                   0,             0.09449,             0.42056,                   0,                   0,                   0,                 0.5,             0.76246,                   0,                   0,              4.7272
          0.00082069,             0.12092,          0.00071296,          0.00015023,             0.11626,            0.095154,            0.047082,               0.008,             0.01195,             0.92042,             0.00048,              3.1357,             0.93873,             0.10941,              0.0533,             0.40591,              1.1309,              1.0386,              0.9939,                 0.2,              3.5546,                   0,             0.01846,             0.68758,             0.30468,                   0,             0.09573,             0.44446,                   0,                   0,                   0,                 0.5,             0.75379,                   0,                   0,              3.4102
          0.00075415,             0.10458,          0.00085892,          0.00026719,             0.11765,            0.091753,            0.043391,             0.00816,             0.01291,             0.94043,             0.00048,              2.9125,             0.90665,             0.10044,             0.05404,             0.43872,             0.92667,              1.0386,             0.89904,                 0.2,              4.1972,                   0,             0.01336,             0.76803,             0.36312,                   0,             0.08962,             0.42056,                   0,                   0,                   0,                 0.5,             0.78507,                   0,                   0,               4.266
